sdg,doi,keys
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Human Trafficking', 'link': 'https://sdg-pathfinder.org/topic/human-trafficking'}, {'key': 'Sexual Exploitation', 'link': 'https://sdg-pathfinder.org/topic/sexual-exploitation'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Citizen Engagement', 'link': 'https://sdg-pathfinder.org/topic/citizen-engagement'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Bribery', 'link': 'https://sdg-pathfinder.org/topic/bribery'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Bribery', 'link': 'https://sdg-pathfinder.org/topic/bribery'}, {'key': 'Anti-corruption Agencies', 'link': 'https://sdg-pathfinder.org/topic/anti-corruption-agencies'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Peaceful Societies', 'link': 'https://sdg-pathfinder.org/topic/peaceful-societies'}, {'key': 'Freedom Of Information', 'link': 'https://sdg-pathfinder.org/topic/freedom-of-information'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Homicide', 'link': 'https://sdg-pathfinder.org/topic/homicide'}, {'key': 'Armed Violence', 'link': 'https://sdg-pathfinder.org/topic/armed-violence'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Bribery', 'link': 'https://sdg-pathfinder.org/topic/bribery'}, {'key': 'Bribery Offences', 'link': 'https://sdg-pathfinder.org/topic/bribery-offences'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Organized Criminal Groups', 'link': 'https://sdg-pathfinder.org/topic/organized-criminal-groups'}, {'key': 'Organized Crime', 'link': 'https://sdg-pathfinder.org/topic/organized-crime'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Trafficking Flows', 'link': 'https://sdg-pathfinder.org/topic/trafficking-flows'}, {'key': 'Sexual Exploitation', 'link': 'https://sdg-pathfinder.org/topic/sexual-exploitation'}, {'key': 'Domestic Trafficking', 'link': 'https://sdg-pathfinder.org/topic/domestic-trafficking'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Homicide', 'link': 'https://sdg-pathfinder.org/topic/homicide'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Human Rights', 'link': 'https://sdg-pathfinder.org/topic/human-rights'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Internally Displaced', 'link': 'https://sdg-pathfinder.org/topic/internally-displaced'}, {'key': 'Legal Identity', 'link': 'https://sdg-pathfinder.org/topic/legal-identity'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Civil Society', 'link': 'https://sdg-pathfinder.org/topic/civil-society'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Organized Criminal Groups', 'link': 'https://sdg-pathfinder.org/topic/organized-criminal-groups'}, {'key': 'Homicide', 'link': 'https://sdg-pathfinder.org/topic/homicide'}, {'key': 'Homicide Rate', 'link': 'https://sdg-pathfinder.org/topic/homicide-rate'}, {'key': 'Intentional Homicide', 'link': 'https://sdg-pathfinder.org/topic/intentional-homicide'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Bribery', 'link': 'https://sdg-pathfinder.org/topic/bribery'}, {'key': 'Criminal Proceedings', 'link': 'https://sdg-pathfinder.org/topic/criminal-proceedings'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Bribery', 'link': 'https://sdg-pathfinder.org/topic/bribery'}, {'key': 'Anti-corruption Policies', 'link': 'https://sdg-pathfinder.org/topic/anti-corruption-policies'}, {'key': 'Corrupt Practices', 'link': 'https://sdg-pathfinder.org/topic/corrupt-practices'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Psychological Violence', 'link': 'https://sdg-pathfinder.org/topic/psychological-violence'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Anti-corruption Agencies', 'link': 'https://sdg-pathfinder.org/topic/anti-corruption-agencies'}, {'key': 'Anti-corruption Policies', 'link': 'https://sdg-pathfinder.org/topic/anti-corruption-policies'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Citizen Engagement', 'link': 'https://sdg-pathfinder.org/topic/citizen-engagement'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Physical Violence', 'link': 'https://sdg-pathfinder.org/topic/physical-violence'}, {'key': 'Sexual Violence', 'link': 'https://sdg-pathfinder.org/topic/sexual-violence'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Human Rights', 'link': 'https://sdg-pathfinder.org/topic/human-rights'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Human Rights', 'link': 'https://sdg-pathfinder.org/topic/human-rights'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Global Governance', 'link': 'https://sdg-pathfinder.org/topic/global-governance'}, {'key': 'Fragile States', 'link': 'https://sdg-pathfinder.org/topic/fragile-states'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Human Rights', 'link': 'https://sdg-pathfinder.org/topic/human-rights'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Human Rights', 'link': 'https://sdg-pathfinder.org/topic/human-rights'}, {'key': 'Criminal Justice', 'link': 'https://sdg-pathfinder.org/topic/criminal-justice'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Anti-corruption Agencies', 'link': 'https://sdg-pathfinder.org/topic/anti-corruption-agencies'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Physical Violence', 'link': 'https://sdg-pathfinder.org/topic/physical-violence'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Violence Reduction', 'link': 'https://sdg-pathfinder.org/topic/violence-reduction'}, {'key': 'Violence Prevention', 'link': 'https://sdg-pathfinder.org/topic/violence-prevention'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'International Mine Action Standards', 'link': 'https://sdg-pathfinder.org/topic/international-mine-action-standards'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Human Trafficking', 'link': 'https://sdg-pathfinder.org/topic/human-trafficking'}, {'key': 'Criminal Justice', 'link': 'https://sdg-pathfinder.org/topic/criminal-justice'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Enforced Disappearance', 'link': 'https://sdg-pathfinder.org/topic/enforced-disappearance'}, {'key': 'Human Rights', 'link': 'https://sdg-pathfinder.org/topic/human-rights'}, {'key': 'International Humanitarian Law', 'link': 'https://sdg-pathfinder.org/topic/international-humanitarian-law'}]"
peace-justice-and-strong-institutions,10.1787_9789264087736-en,"[{'key': 'Physical Violence', 'link': 'https://sdg-pathfinder.org/topic/physical-violence'}]"
